Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
0	fg1_m13_iso0.333_rotated	0	0.05	0	1	0.0	0.0	0.5050262539603897	-1.7657472377111283	2.740964416556146	-0.09075495243084572	-0.014989586784136009	0.8586	0.13857402444624756	0	42.84	0.08	0.08	13.02	0.74	0.3	4.99	15.53	1.09	0.48	764	11.77	0.03	51.53	-0.05	-1.18	32.79	13.0	-0.01	0.44	0.05	0.01	1.91
1	fg1_m13_iso0.333_rotated	0	0.1	0	1	0.0	0.0	0.5233335225664254	-1.7572163534187415	2.6938759801167667	-0.08541669674550728	-0.02101850504929572	0.8436	0.12467643320925237	7	2.31	0.03	0.06	7.66	0.74	0.31	5.65	20.3	1.09	0.48	764	11.81	4.41	52.88	0.01	-1.15	35.04	13.41	-0.33	-0.03	0.01	0.33	-0.32
2	fg1_m13_iso0.333_rotated	0	0.29	0	1	0.0	0.0	0.5271376560487386	-1.8025208358026183	2.8015155156503684	-0.03155531538639899	0.0057032980785289115	0.8899	0.1259615411762908	14	0.17	0.05	0.09	8.74	0.69	0.3	10.67	21.7	0.68	0.48	368	11.26	8.1	44.44	-0.18	-1.01	41.3	11.46	0.25	0.79	0.18	0.25	0.25
3	fg1_m13_iso0.333_rotated	0	0.49	0	1	0.0	0.0	0.4793917039110901	-1.7268308602927818	2.7510327229552773	-0.060682555582458775	-0.005553650617458463	0.8846	0.13099333879171488	21	3.56	0.04	0.08	7.97	0.71	0.33	8.0	21.06	0.68	0.64	754	11.43	1.29	52.64	-0.11	-1.11	37.37	9.54	0.23	1.14	0.11	0.23	-0.39
4	fg1_m13_iso0.333_rotated	0	0.98	0	1	0.0	0.0	0.529991034943613	-1.7280590387097379	2.7921589035357623	-0.00017000013100530124	-0.02235728700669016	1.0972	0.17770862294414125	28	39.9	0.1	0.07	27.04	0.8	0.81	24.62	49.36	0.0	0.77	830	80.93	5.66	58.12	-0.04	-1.38	39.49	8.64	-0.06	1.48	0.04	0.06	-0.5
5	fg1_m13_iso0.333_rotated	0	1.96	0	1	0.0	0.0	0.5721763898099647	-2.1161378608415244	3.546454651989396	-0.042442697107304576	-0.22372968848652666	1.8935	0.16262370205621862	35	3.61	0.08	0.05	11.64	0.65	0.32	13.7	18.0	0.0	0.77	544	25.62	14.87	46.26	0.04	-1.28	53.44	10.07	0.69	-0.29	0.04	0.69	-0.07
6	fg1_m13_iso0.333_rotated	0	0.05	1	1	0.0	0.0	0.4988063029323528	-1.7333725563110718	2.803583688796333	-0.05419315920528535	0.00440079492247767	0.8219	0.08354916049507048	1	1.99	0.02	0.07	7.89	0.8	0.53	1.93	6.37	0.68	0.48	710	12.72	0.47	61.68	-0.04	-1.07	31.3	17.17	-0.34	-0.68	0.04	0.34	0.65
7	fg1_m13_iso0.333_rotated	0	0.1	1	1	0.0	0.0	0.5084994447432979	-1.7251916069639526	2.7363375251461464	-0.06284970550236381	-0.008963895016127375	0.8055	0.09203724608771124	8	8.55	0.03	0.06	10.87	0.79	0.55	3.04	9.48	0.68	0.48	678	12.23	1.04	64.85	-0.03	-1.14	35.73	12.13	-0.38	0.43	0.03	0.38	0.28
8	fg1_m13_iso0.333_rotated	0	0.29	1	1	0.0	0.0	0.5204857036439283	-1.7585179401590023	2.828323258298552	-0.041350613511943024	-0.010899565661384765	0.8335	0.09195932292815194	15	1.98	0.05	0.05	9.09	0.78	0.54	3.5	11.91	0.68	0.48	663	12.05	6.22	64.17	-0.11	-1.14	36.44	13.88	-0.49	0.37	0.11	0.49	0.21
9	fg1_m13_iso0.333_rotated	0	0.49	1	1	0.0	0.0	0.5040771568311491	-1.7311131830998754	2.825093830707534	-0.06256597885012012	-0.002978122861748408	0.8455	0.09558601312976002	22	3.06	0.04	0.08	8.67	0.75	0.56	6.57	19.47	0.68	0.48	638	11.75	5.89	65.0	-0.18	-1.18	39.07	9.99	0.11	-0.05	0.18	0.11	-0.5
