Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
0	fg3_m13	0	0.2	0	1	0.0	0.0	0.4871863342300351	-1.7690228210895536	2.6546621899507588	0.0032418834532740577	0.005525560628691682	0.9164	0.06734515725861348	0	0.26	0.04	0.08	7.19	0.6	0.12	1.92	7.96	0.43	0.48	764	14.2	3.22	53.74	-0.07	-1.14	57.18	17.73	-0.11	0.86	0.07	0.11	-0.73
1	fg3_m13	1	0.39	0	2	14.157605128075181	3.4362123944181504	0.5747869663925245	-1.0437586049113778	2.692846744164345	0.2011129991421551	0.003755733756376249	0.8962	0.5432382647306454	7	2.69	0.02	0.07	7.36	0.58	0.25	1.28	4.67	0.68	0.48	764	14.39	0.14	53.45	0.01	-1.17	59.95	19.99	-0.14	0.68	0.01	0.14	-0.28
2	fg3_m13	1	0.68	0	1	0.0	0.0	0.594753051588911	-2.447242626827688	4.744587828770298	0.1480852182756771	0.014083481241158055	4.58	0.461435881398618	14	3.51	0.05	0.06	8.17	0.37	0.28	7.6	8.01	0.86	0.48	368	8.9	1.31	41.64	-0.08	-1.04	82.33	23.52	0.52	-0.16	0.08	0.52	0.12
5	fg3_m13	1	1.17	0	1	0.0	0.0	0.5376453239416624	-2.2062877128299445	4.276772650312898	0.10702640122193732	0.010701852897590543	3.8573	0.4098264849436758	27	26.29	0.04	0.05	6.53	0.46	0.27	2.15	2.13	0.68	0.77	368	10.64	0.38	50.88	-0.05	-1.19	92.9	23.47	0.42	-0.44	0.05	0.42	-0.41
6	fg3_m13	1	1.37	0	1	0.0	0.0	0.566060533262391	-2.5106052260517937	4.764941010266481	0.1836221536782658	0.0022948108785524435	3.7345	0.4354269725864254	33	55.64	0.04	0.06	7.88	0.36	0.16	11.49	6.35	0.68	0.48	368	8.61	0.29	48.66	-0.05	-1.14	94.6	25.02	0.24	-0.7	0.05	0.24	-0.3
7	fg3_m13	1	1.47	0	1	0.0	0.0	0.5868273941253417	-2.491690487159944	4.648985900431474	0.13353865624183955	0.003347516769144609	3.4162	0.2618510800667179	39	45.82	0.04	0.06	10.17	0.43	0.15	7.3	9.12	0.68	0.48	368	9.78	5.99	53.68	-0.04	-1.27	97.4	28.43	0.52	-0.39	0.04	0.52	-0.35
9	fg3_m13	1	1.76	0	1	0.0	0.0	0.5620954561306944	-2.420185996921134	4.285192582343171	0.0671208226122549	0.0008798271551003395	3.2534	0.223858374572171	51	63.21	0.03	0.04	7.77	0.53	0.28	6.63	12.56	0.68	0.48	764	11.84	7.49	64.68	0.05	-1.33	80.19	24.64	1.02	0.49	0.05	1.02	-0.65
10	fg3_m13	1	1.86	0	1	0.0	0.0	0.6309322212101286	-2.311771852391303	4.610045618808903	0.005928606496066664	-0.023576264930983585	2.9298	0.4886738372040101	55	24.46	0.04	0.05	10.52	0.47	0.51	9.44	19.16	0.68	0.48	368	10.72	4.79	51.31	-0.06	-1.35	94.35	25.26	0.69	-0.21	0.06	0.69	1.21
11	fg3_m13	1	2.05	0	2	12.310940536323352	4.281934305936913	0.6034011420517816	-1.675069402447232	4.560413156964331	0.10430400331366374	-0.013166799354568996	2.9937	0.6888104035082995	60	89.52	0.04	0.04	10.69	0.44	0.41	7.84	10.46	0.96	0.48	368	9.6	6.73	57.64	0.0	-1.28	103.32	22.67	0.43	-0.45	0.0	0.43	0.21
12	fg3_m13	1	2.15	0	2	14.505981895114504	7.711165069956733	0.5521956312363352	-2.4438008500777233	4.497969657356071	0.10104171710945596	0.0015481248368067215	3.0685	0.30149466754524296	67	46.72	0.04	0.04	14.13	0.46	0.35	16.16	26.67	1.09	0.48	368	10.45	3.34	64.8	0.13	-1.14	114.09	22.16	0.0	-0.65	0.13	0.0	-1.73
