Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
0	fg3_m13	0	0.2	0	1	0.0	0.0	0.4871863342300351	-1.7690228210895536	2.6546621899507588	0.0032418834532740577	0.005525560628691682	0.9164	0.06734515725861348	0	0.26	0.04	0.08	7.19	0.6	0.12	1.92	7.96	0.43	0.48	764	14.2	3.22	53.74	-0.07	-1.14	57.18	17.73	-0.11	0.86	0.07	0.11	-0.73
19	fg3_m13	1	2.42	0	2	11.713115856499426	7.398778059101615	0.6372896284680228	-0.7759564337667665	4.509324846584881	0.04926270179621467	-0.0029185428203040193	2.7316	0.4915740644666861	112	10.65	0.05	0.05	14.05	0.41	0.35	18.28	12.11	0.86	0.64	368	7.31	15.56	67.32	-0.08	-1.31	114.62	25.04	0.27	-0.36	0.08	0.27	-0.42
20	fg3_m13	1	2.44	0	2	6.350171594816258	6.950243175887959	0.6271948099960696	-0.9524309604211902	4.5803609998057215	0.2883573189798507	0.062421248700852625	2.8465	0.5011305531001387	119	10.76	0.05	0.05	13.11	0.44	0.38	6.86	11.53	0.68	0.48	368	8.62	19.38	67.14	-0.09	-1.27	117.75	22.54	0.24	-0.4	0.09	0.24	-0.16
21	fg3_m13	1	2.46	0	1	0.0	0.0	0.607791289767888	-1.8980352935023659	3.674522946647972	0.187327333009378	-0.0008244507864144943	2.1415	0.3761790475810122	125	8.3	0.1	0.03	17.81	0.38	0.39	13.22	16.11	0.96	0.48	368	7.9	21.66	64.04	-0.14	-1.36	131.15	29.24	-0.11	-0.81	0.14	0.11	-0.91
22	fg3_m13	1	2.49	0	2	3.4840421876830954	14.689262776438644	0.5887021489566833	-1.2166528521954263	3.5864941926591305	0.21956291355973195	0.036276720513239	1.9053	0.4741880398742901	132	22.18	0.09	0.08	27.71	0.5	0.57	5.73	16.28	0.68	0.48	1105	15.26	5.13	75.34	0.05	-1.14	119.01	30.85	0.37	-0.52	0.05	0.37	-0.09
23	fg3_m13	1	2.51	0	2	2.6193585953647407	23.91993526620584	0.579436029984946	-1.3364802447512651	3.7114481995782778	0.3189601516249181	0.043563386464895576	2.1939	0.5979390872924045	139	16.48	0.17	0.07	25.53	0.42	0.49	48.31	65.32	0.43	0.88	1104	14.85	9.28	62.34	0.11	-1.05	114.4	27.95	0.38	-0.56	0.11	0.38	0.2
24	fg3_m13	1	2.56	0	1	0.0	0.0	0.5932673431487303	-1.6667031720983652	4.078941584853934	0.2155598128925053	-0.016885443681004704	2.1755	0.7224203368234134	146	62.43	0.11	0.02	25.89	0.36	0.1	9.75	13.29	0.86	0.48	368	9.58	17.68	62.28	-0.29	-1.03	140.96	23.71	-0.52	-0.32	0.29	0.52	-1.22
25	fg3_m13	1	2.59	0	1	0.0	0.0	0.5751330266212772	-2.132563817313903	3.7466220524173015	0.14694054340344415	-0.0014474601385554699	2.2754	0.4240165060304881	152	2.02	0.06	0.03	15.26	0.39	0.17	16.88	20.17	0.68	0.48	368	10.16	4.66	65.78	0.1	-1.17	140.1	20.06	-0.02	-0.57	0.1	0.02	-1.29
33	fg3_m13	0	3.13	0	1	0.0	0.0	0.6085771057363681	-2.334460001943992	4.3998587670963625	0.023710867870902028	-0.002398908344195241	2.4752	0.3252778160553945	204	7.21	0.05	0.04	14.43	0.38	0.35	15.24	19.89	0.86	0.48	368	7.43	7.47	72.39	-0.12	-1.13	134.09	24.05	0.05	-0.74	0.12	0.05	0.12
34	fg3_m13	0	3.62	0	1	0.0	0.0	0.6045960399515271	-2.351279361666113	4.1684174187104555	0.0044618024556728935	0.0009476213466990957	2.4508	0.2704066693011014	211	6.36	0.04	0.03	14.59	0.43	0.33	16.28	7.56	1.09	0.48	368	8.23	6.52	77.5	0.03	-1.18	136.86	23.27	0.31	-0.62	0.03	0.31	-0.93
35	fg3_m13	0	4.6	0	1	0.0	0.0	0.5742415761268275	-2.3502261278928547	4.122729770608865	-0.050233953720801534	-0.011957572321603755	2.4806	0.12024461071539087	218	2.18	0.07	0.05	18.13	0.4	0.34	23.94	18.98	0.86	0.48	368	8.47	4.76	72.26	-0.01	-1.11	131.36	25.6	0.41	-0.75	0.01	0.41	-0.55
36	fg3_m13	0	0.2	1	1	0.0	0.0	0.5910750138488209	-1.5715842237988116	3.2691728453169664	-0.0017290460216653901	0.0815458869334292	0.5105	0.07282144630739652	1	0.25	0.06	0.08	9.0	0.87	0.85	3.96	2.14	0.43	0.48	874	23.29	1.29	115.83	0.0	-1.43	55.47	17.3	-0.1	1.15	0.0	0.1	0.27
55	fg3_m13	1	2.42	1	2	11.18567640214983	6.217846551398492	0.6241415075551071	-0.5598824664474307	4.077312770676921	0.2155485741473783	-0.007418631057656162	2.7122	0.6278035859887178	113	2.06	0.04	0.04	14.48	0.52	0.48	3.79	8.41	0.68	0.48	368	10.09	20.03	81.01	0.0	-1.18	120.76	27.24	0.29	-0.46	0.0	0.29	0.33
56	fg3_m13	1	2.44	1	2	5.990738932557126	5.782025464416259	0.581603661730974	-0.8323155380004464	1.7500738126395972	0.4310912918782437	0.09678524969766916	2.7271	0.3485158980431671	120	4.49	0.03	0.05	11.09	0.7	0.53	11.56	26.1	1.92	0.48	1474	25.18	13.49	101.21	-0.32	-1.42	99.55	22.25	0.95	0.97	0.32	0.95	-0.5
57	fg3_m13	1	2.46	1	1	0.0	0.0	0.6204849496304355	-1.916362733589112	3.9802810982719694	0.13678873719747556	0.001976370674632617	2.1792	0.5177693545303069	126	10.26	0.05	0.03	15.37	0.5	0.59	7.47	12.04	0.68	0.48	368	9.98	33.04	82.52	-0.05	-1.22	136.14	27.49	-0.24	-0.7	0.05	0.24	-1.08
58	fg3_m13	1	2.49	1	2	3.2320997201681694	17.376407787487487	0.5958226602713891	-1.2904258200241137	3.6257822438334792	0.19420705278396766	0.024554702559704787	2.1133	0.3285329806764041	133	19.66	0.05	0.06	25.47	0.47	0.64	30.87	25.9	0.68	1.07	733	14.15	14.14	73.82	0.22	-0.83	128.01	30.63	0.59	0.29	0.22	0.59	-0.74
59	fg3_m13	1	2.51	1	2	2.4587358314566683	19.868267565668546	0.5955708862596241	-1.2668178101142804	3.7461497372252506	0.3125502857429477	0.038033746663964786	2.8259	0.4808034563321684	140	21.66	0.12	0.06	21.31	0.45	0.6	48.2	58.46	0.68	0.88	755	13.02	23.56	59.32	0.61	-0.78	112.84	26.15	0.39	-0.23	0.61	0.39	-1.38
60	fg3_m13	1	2.56	1	1	0.0	0.0	0.5874237480570055	-1.7258565352519142	4.083545309705007	0.21766454325644172	-0.0077974349264156905	2.1182	0.6441464725617029	147	70.53	0.11	0.02	20.31	0.34	-0.23	11.08	9.93	0.68	0.48	368	8.66	20.77	63.23	-0.3	-1.04	140.68	22.31	-0.64	-0.22	0.3	0.64	-0.57
61	fg3_m13	1	2.59	1	1	0.0	0.0	0.5646439664817647	-2.1477395971703497	3.713754287056544	0.13213410798405273	0.0028911643871979307	2.2566	0.3836851461060985	153	16.49	0.06	0.04	14.12	0.37	0.18	12.92	24.71	0.86	0.48	368	9.14	6.21	66.35	-0.02	-1.14	139.28	23.27	-0.23	-0.43	0.02	0.23	-0.82
69	fg3_m13	0	3.13	1	1	0.0	0.0	0.5818390992104929	-2.297462475798143	4.190713467068792	0.02118843417050153	-0.003529091928725386	2.3369	0.2477296649980884	205	1.06	0.04	0.03	14.3	0.4	0.38	3.87	10.04	0.86	0.48	368	7.75	9.11	76.89	-0.02	-1.06	139.44	23.25	0.07	-0.52	0.02	0.07	0.08
70	fg3_m13	0	3.62	1	1	0.0	0.0	0.5886372607436148	-2.3261892382769074	4.16741118550337	-0.005675990983812489	-0.003395830967385598	2.5219	0.1637099202024561	212	1.14	0.03	0.02	8.79	0.44	0.43	13.98	19.28	0.68	0.77	368	8.33	18.95	79.97	-0.0	-1.06	138.04	26.61	-0.04	-0.64	0.0	0.04	1.17
71	fg3_m13	0	0.2	2	1	0.0	0.0	0.5468387840241099	-1.5586783036541294	3.1388022159765954	-0.014095709450304488	0.031290666786337615	0.5309	0.1256249610406718	2	0.63	0.04	0.06	11.17	0.82	0.82	4.27	4.17	0.68	0.77	990	23.72	20.22	115.73	-0.04	-1.36	56.71	18.17	-0.49	0.66	0.04	0.49	0.3
90	fg3_m13	1	2.42	2	2	8.672006201309816	9.111712330429183	0.6225428633410706	-1.0306644778235117	4.569675150988741	0.14021808305033653	-0.036308213768845035	2.6915	0.6263742364881545	114	2.42	0.04	0.05	17.93	0.48	0.41	4.95	6.35	0.86	0.48	368	11.1	22.7	74.84	-0.0	-1.2	122.99	26.44	0.56	-0.22	0.0	0.56	0.21
91	fg3_m13	1	2.44	2	2	4.870295031560672	8.267229616125046	0.5956605273752953	-1.2927350414590846	3.816545927266178	0.2118701292796028	0.023532707568814884	2.665	0.6104872639710713	121	11.78	0.04	0.06	14.93	0.48	0.37	1.91	4.92	0.86	0.48	1165	14.97	17.97	92.47	-0.06	-0.86	113.66	37.86	1.57	2.76	0.06	1.57	-0.39
92	fg3_m13	1	2.46	2	1	0.0	0.0	0.550842982830208	-2.1103270111529784	3.850484675512376	0.12407187387495068	-0.002150833713790157	2.2192	0.4049489197458117	127	17.68	0.07	0.09	24.84	0.39	0.24	19.77	14.68	0.68	0.48	368	9.98	8.52	84.06	-0.54	-1.01	160.34	48.23	0.68	-0.25	0.54	0.68	-1.51
93	fg3_m13	1	2.49	2	2	2.650565623598106	14.486384228706406	0.5489956586063433	-1.38453585202318	2.9898935664496697	0.25203005856151145	0.020690339718890647	1.6263	0.4480471758350084	134	10.4	0.05	0.06	18.35	0.45	0.08	5.14	6.62	0.86	0.48	368	11.01	7.12	73.43	-0.21	-1.06	129.42	20.36	-0.01	-0.41	0.21	0.01	-2.28
94	fg3_m13	1	2.51	2	2	1.7750728850450703	22.22081583625721	0.5642865849461911	-1.6463284358879922	3.4494974332255963	0.25817618010164417	0.015968778512957024	2.4067	0.4076716255632571	141	15.59	0.05	0.05	14.78	0.38	0.21	42.37	48.08	1.09	1.07	764	12.04	3.21	68.13	0.17	-0.85	117.87	22.25	0.45	0.06	0.17	0.45	-1.18
95	fg3_m13	1	2.56	2	1	0.0	0.0	0.5830972303069929	-2.073081129460527	3.9910718791300193	0.18376540617827952	-0.010027984790926177	2.1577	0.5590958301183709	148	2.81	0.04	0.04	7.24	0.34	0.5	16.06	17.7	0.68	0.77	368	11.23	15.24	58.08	0.15	-1.0	134.2	21.6	-0.05	-0.81	0.15	0.05	-2.26
96	fg3_m13	1	2.59	2	1	0.0	0.0	0.5769294127573965	-2.1957977386743166	4.160519477164572	0.09175812760829732	-0.005850018736236582	2.2372	0.3261232242374933	154	14.16	0.04	0.04	15.37	0.33	0.46	7.46	7.77	0.68	0.48	368	10.02	2.02	59.51	0.06	-1.11	141.66	22.24	-0.21	0.08	0.06	0.21	1.03
104	fg3_m13	0	3.13	2	1	0.0	0.0	0.5826921558388575	-2.2927646512117796	4.196454917022642	0.02773423780208973	-0.0051856228061570855	2.4671	0.28583076369037475	206	1.92	0.05	0.05	20.13	0.37	0.33	6.25	8.05	1.09	0.48	368	8.25	5.6	72.03	-0.14	-0.94	138.46	25.44	0.31	-0.54	0.14	0.31	1.84
105	fg3_m13	0	3.62	2	1	0.0	0.0	0.5930617708324285	-2.3290093187664263	4.269551263217608	-0.02717490653129889	-0.006695000817245906	2.3963	0.16121604269778325	213	0.37	0.03	0.03	10.39	0.36	0.32	5.1	8.27	1.09	0.48	368	6.91	18.57	76.03	0.01	-1.05	137.21	25.86	0.38	-0.6	0.01	0.38	0.57
106	fg3_m13	0	0.2	3	1	0.0	0.0	0.4735390500236557	-1.7498662532605205	2.631246311138224	-0.011216946633250728	0.0006858298653903112	0.8646	0.056440103444757576	3	1.65	0.03	0.08	9.6	0.76	0.31	8.07	18.06	1.55	0.48	1256	16.28	27.19	78.86	-0.09	-1.15	56.45	22.46	0.1	0.85	0.09	0.1	-1.43
122	fg3_m13	1	2.42	3	2	5.627627485105177	7.7896868656139375	0.6052387706500341	-1.6710808241844997	4.4595511642767045	0.21623316087462469	-0.009004989912458588	2.7045	0.5938087400601062	115	3.47	0.05	0.04	11.92	0.46	0.33	2.5	4.5	0.86	0.48	368	11.09	17.9	70.65	-0.14	-1.13	121.04	25.78	0.4	-0.26	0.14	0.4	-1.54
124	fg3_m13	1	2.46	3	1	0.0	0.0	0.6001052495331693	-2.0580563515233194	3.9069185356297167	0.0636402349069032	-0.007262185537939081	2.1016	0.6411061073026469	128	61.69	0.87	0.09	44.32	0.31	0.32	48.5	46.25	1.29	0.48	368	9.95	14.75	76.63	0.47	-0.83	180.55	73.62	0.99	0.34	0.47	0.99	0.25
125	fg3_m13	1	2.49	3	1	0.0	0.0	0.5658401687684803	-1.9467828378701133	3.460294300238516	0.2188468212824289	0.014588749482058147	1.8814	0.4985691426574853	135	37.48	0.05	0.04	10.32	0.4	0.16	12.25	15.69	0.96	0.48	368	9.82	11.4	70.65	0.3	-0.91	134.19	19.48	0.24	0.56	0.3	0.24	0.63
126	fg3_m13	1	2.51	3	1	0.0	0.0	0.5534266177397257	-1.6991935831362808	3.6776655251836714	0.2726906865506561	-0.0026346714991925158	2.1695	0.6635264369215065	142	18.8	0.07	0.07	17.53	0.38	0.29	57.75	61.63	0.96	0.88	764	11.37	4.62	69.73	-0.18	-0.94	121.24	24.56	0.21	-0.54	0.18	0.21	1.68
127	fg3_m13	1	2.56	3	1	0.0	0.0	0.5762238635190424	-1.8322727127546383	4.024945659290137	0.22731313172867004	-0.04307078670336922	2.2863	0.7139151052366924	149	12.52	0.05	0.03	11.19	0.37	0.47	26.5	41.29	0.96	0.77	761	11.66	4.22	61.49	-0.14	-0.96	116.35	24.8	0.41	-0.64	0.14	0.41	-0.86
128	fg3_m13	1	2.59	3	1	0.0	0.0	0.6104973659152918	-2.197298385287008	4.341079351594647	0.12222126926554512	-0.014175298793155091	2.3156	0.5551952368426557	155	14.04	0.07	0.05	11.9	0.37	0.45	2.15	3.43	0.68	0.48	368	9.71	8.37	63.4	-0.04	-1.24	139.9	23.72	-0.03	-0.44	0.04	0.03	0.92
135	fg3_m13	0	3.13	3	1	0.0	0.0	0.5711183173366715	-2.2224882875596346	3.9801277660299146	0.05459637052803911	-0.008087279137333444	2.2836	0.3514302725793504	207	3.15	0.04	0.02	10.17	0.39	0.37	2.32	5.34	0.96	0.48	368	9.1	2.82	74.52	-0.1	-1.0	140.44	24.65	0.31	-0.21	0.1	0.31	0.89
