Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
0	fg3_m13	0	0.2	0	1	0.0	0.0	0.4871863342300351	-1.7690228210895536	2.6546621899507588	0.0032418834532740577	0.005525560628691682	0.9164	0.06734515725861348	0	0.26	0.04	0.08	7.19	0.6	0.12	1.92	7.96	0.43	0.48	764	14.2	3.22	53.74	-0.07	-1.14	57.18	17.73	-0.11	0.86	0.07	0.11	-0.73
26	fg3_m13	1	2.64	0	1	0.0	0.0	0.5621808250376986	-1.9917809391795067	3.9341137368053554	0.18662732345923935	-0.00010560377939197697	2.5505	0.1988130252059137	159	20.88	0.05	0.03	13.17	0.39	0.23	19.26	27.8	0.86	0.48	368	10.85	4.91	61.89	0.09	-1.09	140.05	23.62	0.23	-0.55	0.09	0.23	-0.39
27	fg3_m13	1	2.69	0	1	0.0	0.0	0.5986999917516028	-2.188897154300092	4.193749402449853	0.09723757673506644	-0.005281904471201915	2.4644	0.4059985841437132	166	9.17	0.04	0.03	14.3	0.37	0.34	9.23	9.01	0.68	0.48	368	7.66	2.98	66.89	-0.02	-1.15	138.71	23.58	0.12	-0.77	0.02	0.12	2.58
28	fg3_m13	1	2.74	0	1	0.0	0.0	0.6185500633106877	-2.307231478331623	4.273338247795498	0.11504975486621902	-0.0016268730244003765	2.5275	0.3916928493441834	173	2.68	0.06	0.03	16.46	0.34	0.39	19.72	24.99	0.86	0.48	368	6.93	5.32	69.49	-0.01	-1.11	138.62	24.59	0.26	-0.54	0.01	0.26	-0.31
29	fg3_m13	1	2.79	0	1	0.0	0.0	0.60673589496159	-2.3180422140450285	4.4330618093489385	0.07717113579023382	-0.006438438922018417	2.6236	0.33865919178204884	179	0.71	0.05	0.04	14.07	0.37	0.41	19.13	18.27	0.96	0.48	368	7.54	3.46	69.31	-0.01	-1.07	137.51	24.69	0.24	-0.47	0.01	0.24	-1.14
30	fg3_m13	1	2.84	0	1	0.0	0.0	0.6068892615561579	-2.2268348415438464	4.2189957313454505	0.0771963581718683	-0.008864574420883366	2.5368	0.3055677798942467	185	6.15	0.05	0.04	15.23	0.36	0.35	21.89	28.59	0.68	0.48	368	7.6	1.6	69.59	-0.11	-1.07	135.33	23.96	0.17	-0.69	0.11	0.17	0.2
31	fg3_m13	1	2.93	0	1	0.0	0.0	0.5932193524340725	-2.2421748515630244	3.985409602655196	0.05421581309123167	0.00306712524862924	2.3828	0.3628445267112235	191	4.15	0.03	0.04	8.77	0.41	0.26	22.38	6.79	0.68	0.77	368	8.05	9.02	72.98	0.06	-1.14	137.29	23.55	0.18	-0.63	0.06	0.18	1.13
32	fg3_m13	1	3.03	0	1	0.0	0.0	0.5899263953990443	-2.3045495782852794	4.230842114721294	0.032017215283659764	-0.0065331110573499575	2.4005	0.33822940945337804	197	7.33	0.06	0.04	14.21	0.38	0.36	7.81	12.92	0.68	0.48	368	7.88	6.73	70.02	-0.18	-1.15	135.87	24.92	0.2	-0.6	0.18	0.2	-0.03
33	fg3_m13	0	3.13	0	1	0.0	0.0	0.6085771057363681	-2.334460001943992	4.3998587670963625	0.023710867870902028	-0.002398908344195241	2.4752	0.3252778160553945	204	7.21	0.05	0.04	14.43	0.38	0.35	15.24	19.89	0.86	0.48	368	7.43	7.47	72.39	-0.12	-1.13	134.09	24.05	0.05	-0.74	0.12	0.05	0.12
34	fg3_m13	0	3.62	0	1	0.0	0.0	0.6045960399515271	-2.351279361666113	4.1684174187104555	0.0044618024556728935	0.0009476213466990957	2.4508	0.2704066693011014	211	6.36	0.04	0.03	14.59	0.43	0.33	16.28	7.56	1.09	0.48	368	8.23	6.52	77.5	0.03	-1.18	136.86	23.27	0.31	-0.62	0.03	0.31	-0.93
35	fg3_m13	0	4.6	0	1	0.0	0.0	0.5742415761268275	-2.3502261278928547	4.122729770608865	-0.050233953720801534	-0.011957572321603755	2.4806	0.12024461071539087	218	2.18	0.07	0.05	18.13	0.4	0.34	23.94	18.98	0.86	0.48	368	8.47	4.76	72.26	-0.01	-1.11	131.36	25.6	0.41	-0.75	0.01	0.41	-0.55
36	fg3_m13	0	0.2	1	1	0.0	0.0	0.5910750138488209	-1.5715842237988116	3.2691728453169664	-0.0017290460216653901	0.0815458869334292	0.5105	0.07282144630739652	1	0.25	0.06	0.08	9.0	0.87	0.85	3.96	2.14	0.43	0.48	874	23.29	1.29	115.83	0.0	-1.43	55.47	17.3	-0.1	1.15	0.0	0.1	0.27
62	fg3_m13	1	2.64	1	1	0.0	0.0	0.5615554442383505	-2.0926677219921093	4.1988493549834685	0.12832568829605642	0.0004110238926699817	2.8775	0.3015752059169899	160	7.73	0.04	0.03	14.05	0.37	0.29	24.31	26.52	0.86	0.48	368	10.38	4.75	61.88	0.01	-1.04	142.59	23.8	0.09	-0.62	0.01	0.09	0.22
