Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
0	fg3_m10_iso1_rotated	0	0.05	0	1	0.0	0.0	0.5150967673816995	-1.8865469228136795	2.98526195531198	-0.04623739071386805	-0.007468898631844805	1.3175	0.10149440563925237	0	1.62	0.02	0.05	11.18	0.7	0.3	4.13	9.95	1.09	0.48	764	13.83	4.73	84.91	0.01	-1.19	73.76	22.58	0.05	0.34	0.01	0.05	1.12
1	fg3_m10_iso1_rotated	0	0.29	0	1	0.0	0.0	0.5379798949289849	-1.8738781181934705	2.8904456626212753	-0.004630238763920006	0.002157895130595941	1.2182	0.1060041795434371	7	3.03	0.04	0.06	10.95	0.74	0.29	13.17	50.37	0.86	0.64	1256	15.13	6.47	88.56	-0.13	-1.24	62.98	21.57	0.64	0.79	0.13	0.64	-0.33
2	fg3_m10_iso1_rotated	0	0.59	0	1	0.0	0.0	0.5381657014708681	-1.891965713183392	2.8759387507219176	-0.012785455139039923	0.007186468985148891	1.2187	0.09600461600471796	12	0.43	0.03	0.05	11.24	0.73	0.31	5.37	15.34	0.86	0.64	764	13.92	0.64	87.8	-0.06	-1.22	70.83	20.96	0.31	0.52	0.06	0.31	-0.91
3	fg3_m10_iso1_rotated	0	0.88	0	1	0.0	0.0	0.4698783641358004	-1.8122023009242132	2.8388718726512097	0.005582261683037062	0.005417135523644419	1.1765	0.09718953963949499	19	1.14	0.02	0.05	11.55	0.74	0.37	4.4	13.09	0.86	0.48	764	13.91	5.88	87.63	0.02	-1.19	69.15	21.26	0.2	0.84	0.02	0.2	-0.04
4	fg3_m10_iso1_rotated	0	0.98	0	1	0.0	0.0	0.4960036079294286	-1.8045035883281229	2.7896375883251467	0.022447502334512846	0.010197209016432151	1.1151	0.12738810210438867	26	2.21	0.02	0.04	11.33	0.75	0.26	4.29	12.6	1.09	0.48	764	14.59	4.52	87.78	-0.0	-1.21	70.1	20.22	0.3	0.52	0.0	0.3	1.67
5	fg3_m10_iso1_rotated	0	1.17	0	1	0.0	0.0	0.4882674009136151	-1.7991422956385874	2.7934441249114164	-0.011593371495641094	0.004971580045981597	1.1169	0.07822904572449982	32	0.31	0.02	0.04	10.44	0.75	0.36	2.32	9.35	0.86	0.48	764	14.4	7.69	86.17	0.01	-1.21	67.61	20.67	0.38	0.83	0.01	0.38	0.58
6	fg3_m10_iso1_rotated	0	1.47	0	1	0.0	0.0	0.5062205701515945	-1.8268081856288887	2.790675986568953	-0.0008213224951534688	0.004638763361142993	1.0997	0.12832812288747875	39	2.75	0.03	0.04	9.82	0.76	0.34	7.59	34.51	1.09	0.48	1256	15.98	1.47	90.88	-0.02	-1.23	62.07	19.91	0.8	0.76	0.02	0.8	0.8
7	fg3_m10_iso1_rotated	0	1.76	0	1	0.0	0.0	0.4937349031161281	-1.8405245867612572	2.7927155196434748	-0.010294890010018884	0.008444307316181466	1.1363	0.12338460646899775	45	1.59	0.03	0.04	10.58	0.74	0.31	6.83	22.51	0.86	0.48	764	14.35	0.62	87.2	-0.07	-1.23	71.15	20.39	0.42	0.43	0.07	0.42	-0.8
8	fg3_m10_iso1_rotated	0	1.96	0	1	0.0	0.0	0.5140094526980777	-1.8429841002519176	2.780014171447128	-0.007907362332304014	0.00843603159885341	1.117	0.09342765205752628	52	0.32	0.02	0.04	10.38	0.74	0.3	3.3	10.03	1.09	0.48	764	14.55	7.56	86.24	0.01	-1.19	69.84	21.01	0.33	0.35	0.01	0.33	-0.14
9	fg3_m10_iso1_rotated	0	0.05	1	1	0.0	0.0	0.4882281983248761	-1.8299469608701475	2.946307374908046	-0.023365389453481943	-0.003480814388872858	1.1465	0.05146109043451212	1	1.14	0.02	0.05	11.25	0.78	0.51	3.6	20.75	0.68	0.48	1252	17.3	0.34	99.96	-0.06	-0.98	63.48	25.31	0.4	-0.3	0.06	0.4	0.13
10	fg3_m10_iso1_rotated	0	0.29	1	1	0.0	0.0	0.5230005245405662	-1.8077131688526962	2.859329188602993	0.00425245620932792	0.0010079026387296306	1.0562	0.05296197105538767	8	4.32	0.03	0.06	12.2	0.78	0.51	9.45	22.27	0.68	0.48	1249	16.59	0.48	101.82	-0.06	-1.01	63.59	22.94	0.5	0.48	0.06	0.5	0.41
11	fg3_m10_iso1_rotated	0	0.59	1	1	0.0	0.0	0.5139793646947712	-1.8231206954158965	2.8769728984598033	-0.0017773041654340262	-0.0005114171896300426	1.0596	0.06810796566799655	13	0.83	0.02	0.05	10.64	0.8	0.52	2.25	9.86	0.68	0.48	1236	16.65	5.48	102.83	0.0	-1.06	61.9	23.68	0.49	0.16	0.0	0.49	0.4
12	fg3_m10_iso1_rotated	0	0.88	1	1	0.0	0.0	0.5196994949066376	-1.7929074779162777	2.870346041566832	0.019164483111520667	0.007371479668882122	1.0478	0.08206237486961229	20	1.74	0.02	0.05	11.12	0.79	0.5	3.32	14.04	0.61	0.48	1179	16.18	1.83	105.09	-0.01	-1.1	62.77	23.57	0.34	0.1	0.01	0.34	-0.48
13	fg3_m10_iso1_rotated	0	0.98	1	1	0.0	0.0	0.476930611023887	-1.760597667796334	2.7711153565238558	0.017166395978031438	0.009898218325558336	0.9982	0.13199479825745275	27	0.22	0.03	0.05	11.29	0.79	0.49	12.09	31.27	0.61	0.48	1205	15.91	1.6	105.65	-0.08	-1.08	63.66	22.14	0.46	0.55	0.08	0.46	-0.32
14	fg3_m10_iso1_rotated	0	1.17	1	1	0.0	0.0	0.5080108588493774	-1.7893126971829176	2.829256827718817	-0.0058594005003743226	-0.0008045073286129305	1.0101	0.06765435844244368	33	0.6	0.04	0.06	15.7	0.79	0.52	10.32	15.57	0.68	0.77	1156	16.28	10.33	104.49	0.04	-1.13	64.28	21.79	0.65	0.32	0.04	0.65	-0.44
15	fg3_m10_iso1_rotated	0	1.47	1	1	0.0	0.0	0.4978448334514514	-1.8017937881816048	2.808839689142125	-0.015341023683694862	0.0006971346772526156	0.9977	0.07700521371529667	40	0.07	0.02	0.04	7.74	0.8	0.51	6.3	22.1	0.96	0.77	1219	17.02	2.33	103.51	-0.04	-1.04	62.62	22.55	0.53	0.08	0.04	0.53	-0.99
16	fg3_m10_iso1_rotated	0	1.76	1	1	0.0	0.0	0.4990440540186622	-1.83727366535786	2.8495875106237856	-0.005794606496593885	0.0014850813178937756	1.0343	0.06912697255651334	46	1.25	0.02	0.05	10.81	0.79	0.48	3.61	15.99	0.91	0.48	1200	17.18	0.82	103.83	-0.04	-1.09	64.52	21.9	0.71	0.58	0.04	0.71	-0.42
17	fg3_m10_iso1_rotated	0	1.96	1	1	0.0	0.0	0.4935998991535751	-1.8035094479568976	2.805386239503344	-0.010120413667576591	0.0035912579429492352	1.0007	0.0980948337636682	53	5.41	0.02	0.04	12.4	0.79	0.52	3.87	12.5	0.61	0.48	1176	16.93	3.97	104.67	-0.05	-1.09	66.48	19.79	0.95	0.78	0.05	0.95	-1.21
18	fg3_m10_iso1_rotated	0	0.05	2	1	0.0	0.0	0.511314657102319	-1.8445383373197264	2.915485389059814	-0.02157861453665909	0.00188178328119428	1.1463	0.059039073699569525	2	2.1	0.03	0.05	11.33	0.79	0.51	3.22	20.72	0.96	0.48	1253	17.71	2.1	99.2	-0.04	-0.98	61.83	25.66	0.47	-0.42	0.04	0.47	0.47
